name
Suzanne Collins
J.K. Rowling
Mary GrandPré
Stephenie Meyer
Markus Zusak
George Orwell
Russell Baker
C.M. Woodhouse
J.R.R. Tolkien
Margaret Mitchell
Shel Silverstein
Emily Brontë
Richard J. Dunn
David Timson
Charlotte Brontë
Robert Heindel
Arthur Golden
Lewis Carroll
John Tenniel
Martin Gardner
Michael Mason
Barnett Freedman
Ray Bradbury
Veronica Roth
William Golding
William Shakespeare
Paul Werstine
Barbara A. Mowat
Paavo Emil Cajander
Paulo Coelho
Alan R. Clarke
James Noel Smith
Fyodor Dostoyevsky
David McDuff
Cassandra Clare
Orson Scott Card
Stefan Rudnicki
Harlan Ellison
L.M. Montgomery
E.B. White
Garth Williams
Rosemary Wells
John Steinbeck
Audrey Niffenegger
Bram Stoker
Nina Auerbach
David J. Skal
Aldous Huxley
J.D. Salinger
William Goldman
Rick Riordan
Frances Hodgson Burnett
Khaled Hosseini
Madeleine L'Engle
George R.R. Martin
Mark Twain
Guy Cardwell
John Seelye
Walter Trier
Alice Sebold
Maurice Sendak
Dr. Seuss
Homer
Robert Fagles
Bernard Knox
Yann Martel
Charles Dickens
Richard Maxwell
Sara Gruen
Vladimir Nabokov
Craig Raine
Kurt Vonnegut Jr.
Mary Wollstonecraft Shelley
Charlotte Gordon
Lois Lowry
Joseph Heller
Frank Herbert
Stephen King
Bernie Wrightson
Richard Adams
Παυλίνα Παμπούδη
Marisa Sestino
Louisa May Alcott
Diana Gabaldon
Jodi Picoult
Roald Dahl
Quentin Blake
Daphne du Maurier
Alice Walker
Betty Smith
Anthony Burgess
Cormac McCarthy
Richard Pevear
Larissa Volokhonsky
Frank McCourt
Richelle Mead
Barbara Kingsolver
Philip Pullman
Miguel de Cervantes Saavedra
John Rutherford
Roberto González Echevarría
Ayn Rand
Leonard Peikoff
Ernest Hemingway
Nicholas Sparks
A.A. Milne
Ernest H. Shepard
Edgar Allan Poe
Anne Rice
John Irving
Herman Melville
Andrew Delbanco
Tom Quirk
Rockwell Kent
Anita Diamant
Sue Monk Kidd
Rita Sussekind
Agatha Christie
Jeffrey Eugenides
Mikhail Bulgakov
Katherine Tiernan O'Connor
Ellendea Proffer
Diana Lewis Burgin
Patrick Rothfuss
Christopher Paolini
Jack Kerouac
Mark Haddon
Eric Carle
Mitch Albom
Milan Kundera
Michael Henry Heim
Umberto Eco
William Weaver
Wilson Rawls
Nathaniel Hawthorne
Thomas E. Connolly
Nina Baym
Truman Capote
Chuck Palahniuk
Becca Fitzpatrick
Alexandre Dumas
Robin Buss
Larry McMurtry
Patrick Süskind
John E. Woods
Louis Sachar
Alan Moore
Dave Gibbons
John Higgins
Laura Ingalls Wilder
Dante Alighieri
Allen Mandelbaum
Eugenio Montale
J.M. Barrie
Michael Hague
Erich Maria Remarque
Arthur Wesley Wheen
Reduced Shakespeare Company
Adam Long
Daniel Singer
Jess Winfield
Gabriel García Márquez
Edith Grossman
Douglas Adams
Ian McEwan
Oscar Wilde
Elizabeth Gilbert
Zora Neale Hurston
L. Frank Baum
W.W. Denslow
Margaret Wise Brown
Clement Hurd
Pearl S. Buck
Joseph Conrad
Aníbal Fernandes
Catherine Belsey
Kahlil Gibran
Marion Zimmer Bradley
Amy Tan
Jane Carruth
Rene Cloke
Jack London
Avi
Richard Bach
Russell Munson
Gustave Flaubert
Mark Overstall
Paul De Man
Malcolm Bowie
Margaret Mauldon
Norton Juster
Jules Feiffer
Katherine Paterson
Guillaume Fournier
Pilar Ramírez Tello
Hanna Hörl
Sylke Hachmeister
Peter Klöss
Stieg Larsson
Reg Keeland
James Dashner
Michael Ende
Ralph Manheim
Roswitha Quadflieg
Robert Louis Stevenson
David W. Whitehead
Richard S. Hartmetz
E.L. James
Jean M. Auel
Geoffrey Chaucer
Nevill Coghill
Jay Asher
Knut Krüger
Gregory Maguire
Douglas Smith
James Clavell
Jonathan Safran Foer
Nancy Bond
Thomas Keneally
Michael Crichton
Erin Morgenstern
Lauren Kate
Christopher Tolkien
Ted Nasmith
Ki Longfellow
Toni Morrison
John Kennedy Toole
Walker Percy
Kiera Cass
Margery Williams Bianco
William Nicholson
Arthur Miller
Christopher Bigs
Arundhati Roy
Claude Demanuelli
Barbara Auer
Diana Quick
Luana Stoica
Donada Peters
Josep Julià Ballbé
Kenneth Grahame
Gillian Avery
Tracy Chevalier
Corrie ten Boom
John Sherrill
Elizabeth Sherrill
Thomas Harris
Maggie Stiefvater
Scott Westerfeld
Viktor E. Frankl
Harold S. Kushner
William J. Winslade
Isle Lasch
Wally Lamb
Gaston Leroux
Alexander Teixeira de Mattos
John Grogan
Gail Carson Levine
Haruki Murakami
Jay Rubin
José Saramago
William Paul Young
P.C. Cast
Kristin Cast
Mary Ann Shaffer
Annie Barrows
Hunter S. Thompson
Ralph Steadman
Isabel Allende
Magda Bogin
Bill Watterson
Alex Haley
Diana Wynne Jones
Robert A. Heinlein
Scott O'Dell
Donna Tartt
Janet Fitch
Lauren Oliver
Jamie McGuire
John Green
Laurie Halse Anderson
Anna Brailovsky
Eva M. Martin
Constance Garnett
Martin Geeson
Joseph Frank
T.H. White
Neil Gaiman
Jon Krakauer
Cornelia Funke
Anthea Bell
Christopher Moore
Elizabeth Kostova
Arthur Conan Doyle
Voltaire
Sara Gioacchino Corcos
Tim Butcher
John Milton
John Leonard
Contributor)
James Herriot
Diane Setterfield
Isaac Asimov
Tim O'Brien
Philip Gabriel
Johanna Spyri
Beverly Cleary
Angelo Rinaldi
Judy Blume
Jostein Gaarder
Paulette Møller
سید مرتضی مصطفوی
Kate Chopin
Rainbow Rowell
William Styron
Pat Conroy
Kazuo Ishiguro
Charlaine Harris
Fannie Flagg
Ernest Cline
George Eliot
Michel Faber
Jon Stone
Michael J. Smollin
Sarah J. Maas
Helen Fielding
Хелен Филдинг
Virginia Woolf
Maureen Howard
Bryce Courtenay
C.S. Lewis
Philip K. Dick
Bill Bryson
Jojo Moyes
Garth Stein
Gayle Forman
Anna Sewell
James Joyce
Seamus Deane
Jim Norton
Hans Walter Gabler
Jeri Johnson
J.M. Gaffney
Ludmila Savitzky
Jonathan Swift
Robert DeMaria Jr.
Ann Patchett
Bret Easton Ellis
David Lloyd
Robert Munsch
Sheila McGraw
Dave McKean
Jane Austen
Charles Frazier
مها محمود صالح
Unknown
Seamus Heaney
Natalie Babbitt
Brandon Sanderson
Kami Garcia
Margaret Stohl
Hermann Hesse
Basil Creighton
J.R. Ward
Beatrice Sparks
Anonymous
أحمد جمال الدين رمضان
Robert Jordan
William Faulkner
John Knowles
David Levithan
Art Spiegelman
Kathryn Sutherland
Michael Chabon
Dave Pelzer
Jerry Spinelli
Lao Tzu
Gia-Fu Feng
Jane English
Toinette Lippe
Jacob Needleman
Salman Rushdie
Michael Ondaatje
David Mitchell
Robert M. Pirsig
Andy Weir
John Grisham
Robin Waterfield
Willa Cather
Tahereh Mafi
Boris Pasternak
John Bayley
Max Hayward
Manya Harari
Victor Hugo
Walter J. Cobb
Anthony M. Esolen
Laura Esquivel
Thomas Christensen
Carol Christensen
Emma Donoghue
Leigh Bardugo
Charles Darwin
Rohinton Mistry
Laini Taylor
Mervyn Peake
Théo Varlet
Patrick Horgan
Dan Chaon
Alyson Noel
John Berendt
Tennessee Williams
David Foster Wallace
Niccolò Machiavelli
Rufus Goodwin
Benjamin Martinez
Harold Bloom
Rex Gibson
Johann Wolfgang von Goethe
Peter Salm
Lisa See
Stephanie Perkins
James Patterson
Ally Condie
V.C. Andrews
Annie Proulx
Laura Hillenbrand
Emmuska Orczy
Colleen Hoover
Chaim Potok
Nick Hornby
Anthony Doerr
Eoin Colfer
Astrid Lindgren
Florence Lamborn
Louis S. Glanzman
Bernhard Schlink
Carol Brown Janeway
Gregory David Roberts
Erik Larson
Francine Rivers
Edith Wharton
Dan Brown
William Gibson
Alfred J. Mac Adam
Pauline Baynes
Introduction and Notes)
