book_id,author_id,role
1,1,writer
2,2,writer
2,3,Illustrator
3,4,writer
4,5,Goodreads Author
5,6,writer
5,7,Preface
5,8,Introduction
6,9,writer
7,10,writer
8,11,writer
9,12,writer
9,13,Editor
9,14,Narrator
9,15,Commentary
9,16,Illustrator
10,17,writer
11,18,writer
11,19,Illustrator
11,20,Introduction
12,15,writer
12,21,Editor
12,22,Illustrator
13,23,writer
14,24,Goodreads Author
15,25,writer
16,26,writer
16,27,Editor
16,28,Editor
16,29,Translator
17,30,Goodreads Author
17,31,Translator
17,32,Illustrator
18,33,writer
18,34,Translator
19,35,Goodreads Author
20,36,writer
20,37,Narrator
20,38,Narrator
21,39,writer
22,40,writer
22,41,Illustrator
22,42,Illustrations
23,43,writer
24,44,Goodreads Author
25,45,writer
25,46,Editor
25,47,Editor
26,48,writer
27,49,writer
28,50,writer
29,51,Goodreads Author
30,52,writer
31,53,Goodreads Author
32,54,writer
33,55,writer
34,56,writer
34,57,Notes
34,58,Introduction
34,59,Ilustrator
35,60,writer
36,61,writer
37,62,writer
38,63,writer
38,64,Translator
38,65,Introduction
39,66,writer
40,67,writer
40,68,Editor/Introduction
41,69,Goodreads Author
42,70,writer
42,71,Afterword
43,72,writer
44,73,writer
44,74,Goodreads Author)
45,75,Goodreads Author
46,76,writer
47,77,writer
48,78,Goodreads Author
48,79,Illustrator
49,80,writer
50,67,writer
50,81,Translator
50,82,Translator
51,83,writer
52,2,writer
53,84,Goodreads Author
54,85,Goodreads Author
55,86,writer
55,87,Illustrator
56,9,writer
57,88,writer
58,6,writer
59,89,writer
60,90,writer
61,91,writer
62,92,writer
63,33,writer
63,33,writer
63,93,Translator
63,94,Translator
64,95,writer
65,96,Goodreads Author
66,97,writer
67,98,writer
68,99,writer
68,100,Translator
68,101,Introduction
69,102,writer
69,103,Goodreads Author)
70,2,writer
70,3,Illustrator
71,104,writer
72,105,Goodreads Author
73,106,writer
73,107,Illustrator
74,108,writer
75,109,writer
76,110,Goodreads Author
77,111,writer
77,112,Introduction
77,113,Notes
77,114,Illustrator
78,115,Goodreads Author
79,116,Goodreads Author
80,35,Goodreads Author
80,117,Translator
81,118,writer
82,119,writer
83,120,writer
83,121,Translator
83,122,Annotations and Afterword
83,123,Translator
84,124,Goodreads Author
85,78,Goodreads Author
86,56,writer
86,57,Annotations
86,58,Introduction
87,125,Goodreads Author
88,86,writer
88,87,Illustrations
89,126,writer
90,127,writer
91,128,writer
92,129,Goodreads Author
93,130,writer
93,131,Translator
94,132,writer
94,133,Translator
95,134,writer
96,2,writer
96,3,Illustrator
97,135,writer
97,136,Annotations
97,137,Introduction
98,138,writer
99,139,Goodreads Author
100,129,Goodreads Author
101,140,Goodreads Author
102,62,writer
103,141,writer
103,142,Translator
104,143,writer
105,144,writer
105,145,Translator
106,146,Goodreads Author
107,147,Goodreads Author
107,148,Illustrator/Letterer
107,149,Colorist
108,78,Goodreads Author
109,51,Goodreads Author
110,150,writer
110,41,Illustrator
111,151,writer
111,152,Translator
111,153,Introduction
112,154,writer
112,155,Illustrator
113,156,writer
113,157,Translator
114,9,writer
115,158,writer
115,159,Contributor
115,160,Contributor
115,161,Editor
116,162,writer
116,163,Translator
117,96,Goodreads Author
118,24,Goodreads Author
119,62,writer
120,164,writer
121,165,writer
122,166,writer
123,167,Goodreads Author
124,168,writer
125,169,writer
125,170,Illustrator
126,171,writer
